Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_DE_JUVENTUD;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;IND_REEMPLAZO_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;ESTUDIOS_SECUNDARIOS;ESTUDIOS_UNIVERSITARIOS
ZOFÍO;0.1;1624;61.58;0.934;8.45;2.73;0.256;88859.65;173.72;43.31;43.29;14.47;18.7;41.53;129.19;77.41;49.63;82.64;86.19;107.14;20.61;31.88;16.19;59;0.296;0.578;0.126
VISTA ALEGRE;0.45;1837;65.26;0.905;20.2;2.61;0.282;91000.54;278.88;45.59;45.24;12.83;23.45;35.59;182.78;54.71;56.92;82.67;59.65;95.76;19.01;30.49;15.02;451;0.259;0.569;0.172
VINATEROS;0.27;2269;73.2;0.821;6.38;2.33;0.321;111452.75;282.28;49.33;49.19;11.47;31.11;40.51;271.1;36.89;74.17;72.71;67.75;89.45;9.85;17.78;6.2;158;0.247;0.525;0.228
VENTAS;0.25;2277;67.92;0.919;8.61;2.39;0.33;120439.34;147.92;46.89;46.54;11.81;24.76;42.76;209.76;47.67;57.66;78.89;62.83;98.43;14.4;26.28;10.57;535;0.227;0.553;0.219
VALVERDE;0.05;3191;84.83;0.787;3.15;2.72;0.256;197584.7;66.82;37.22;38.63;24.42;11.96;41.24;48.99;204.14;57.18;81.09;85.94;99.59;9.94;16.26;6.73;773;0.136;0.418;0.446
VALLEHERMOSO;0.59;4169;110.31;0.652;10.06;2.42;0.357;272939.09;184.98;48.14;48.56;11.56;28.13;38.55;243.39;41.09;65.81;81.02;47.04;95;6.35;10.82;3.46;228;0.064;0.33;0.606
VALDEZARZA;0.15;2503;79.83;0.947;6.57;2.43;0.302;145705.57;209.28;46.29;46.37;12.55;25;34.14;199.21;50.2;60.12;82.65;52.73;98.8;10.26;17.45;7.54;326;0.19;0.484;0.325
VALDEMARÍN;0.01;4238;176.08;0.633;0.36;3.48;0.201;490833.51;19.42;35.63;37.7;28.96;10.35;35.09;35.76;279.67;64.77;64.85;131.44;69.53;9.39;14.53;5.47;102;0.061;0.249;0.69
VALDEFUENTES;0.03;3203;121.89;0.615;0.78;2.85;0.236;252217.73;30.83;33.86;36.81;27.4;6.92;23.98;25.25;396.05;52.24;85.38;121.88;103.63;8.29;14.31;4.53;976;0.054;0.348;0.598
VALDEACEDERAS;0.39;2541;61.16;0.878;15.52;2.42;0.351;108876.13;216.73;41.76;40.78;13.66;15.09;40.32;110.45;90.54;40.36;96.01;70.2;115.16;19.83;29.97;15.68;357;0.209;0.528;0.264
