N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2017;CARABANCHEL;ABRANTES;0.12;1644;73.1;0.884;5.96;2.72;0.262;97425.65;187.74;42.56;42.91;18.73;38.51;109.64;91.2;55.82;74.29;82.82;16.33;26.87;12.66;153;0.258;0;0
2019;CARABANCHEL;ABRANTES;0.12;1883;70.14;0.881;6.01;2.79;0.254;107708.87;196.47;42.54;43.09;17.95;38.14;109.74;91.12;52.24;75.67;84.1;19.62;31.1;15.71;161;0.234;0;0
2018;CARABANCHEL;ABRANTES;0.12;1896;70.65;0.881;6.01;2.73;0.261;106418.73;190.27;42.66;43.17;18.45;38.26;110.64;90.38;54.12;73.57;80.35;17.68;28.7;13.87;182;0.248;0;0
2016;CARABANCHEL;ABRANTES;0.12;1466;68.15;0.885;5.94;2.7;0.264;94900.12;185.88;42.54;42.63;19;38.01;111.73;89.5;56.25;77.56;83.81;15.81;25.97;12.11;105;0.269;0;0
2017;ARGANZUELA;ACACIAS;1.29;3724;72.88;0.859;12.69;2.4;0.319;173656.9;341.57;45.84;46.45;21.34;31.75;188.76;52.98;48.48;80.08;107.07;6.42;10.86;3.83;66;0.122;0;0
2019;ARGANZUELA;ACACIAS;1.29;4188;64.66;0.855;12.87;2.38;0.32;184912.46;342.68;46.43;46.99;22.68;29.93;210.81;47.44;50.25;79.97;110.41;7.01;11.57;4.07;32;0.109;0;0
2018;ARGANZUELA;ACACIAS;1.29;4046;72.77;0.856;12.85;2.39;0.32;170193.68;342.37;46.12;46.7;22.07;30.95;199.21;50.2;49.59;79.94;109.01;6.54;11.07;3.8;61;0.115;0;0
2016;ARGANZUELA;ACACIAS;1.29;3193;66.9;0.863;12.59;2.4;0.319;132917.57;341.05;45.55;46.18;20.6;31.68;179.08;55.84;47.28;78.86;107.1;6.48;10.98;3.85;42;0.126;0;0
2017;RETIRO;ADELFAS;0.75;3621;85.45;0.85;7.93;2.43;0.314;188392.84;283.23;44.63;44.59;20.12;32.31;146.49;68.26;51.19;76.4;108.08;6.54;11.16;3.96;251;0.116;0;0
2019;RETIRO;ADELFAS;0.75;4213;73.97;0.838;8.11;2.43;0.307;215458.34;288.3;44.98;45;21.28;30.44;156.28;63.99;53.62;75.13;100.76;7.05;11.48;4.33;310;0.104;0;0
2018;RETIRO;ADELFAS;0.75;4074;74.02;0.843;8.05;2.42;0.313;181834.09;286.29;44.76;44.71;20.7;31.21;151.21;66.13;52.41;75.44;107.8;6.45;11.07;3.86;159;0.109;0;0
2016;RETIRO;ADELFAS;0.75;3180;87.32;0.857;7.87;2.44;0.309;162095.34;279.83;44.34;44.25;19.54;31.83;142.57;70.14;49.79;78.83;110.08;6.48;10.99;3.96;211;0.123;0;0
2017;BARAJAS;AEROPUERTO;0.2;3291;58.06;0.32;0.23;2.65;0.289;178100.56;0.6;41.6;41.71;15.08;44.98;99.63;100.37;43.29;83.36;88.54;18.05;26.96;12.72;18;0.29;0;0
2019;BARAJAS;AEROPUERTO;0.2;3291;89.43;0.307;0.24;2.69;0.284;190252.61;0.62;41.71;41.93;15.07;43.37;95.55;104.66;44.61;79.52;92.23;20.37;29.98;15.13;14;0.26;0;0
2018;BARAJAS;AEROPUERTO;0.2;3291;51.26;0.312;0.24;2.66;0.271;222191.99;0.61;41.85;41.77;15.44;44.4;102.21;97.83;43.98;84.59;97.83;19.34;28.54;13.82;19;0.269;0;0
2016;BARAJAS;AEROPUERTO;0.2;3291;51.6;0.328;0.22;2.6;0.293;168521.31;0.6;41.63;41.9;15.11;42.32;99.63;100.37;43.43;80.38;101.11;16.92;25.41;11.71;15;0.306;0;0
2017;LATINA;ÁGUILAS;0.04;1861;73.64;0.691;4.21;2.47;0.266;131822.93;141.15;47.89;48.38;28.35;30.72;232.11;43.08;68.23;69.62;93.51;9.85;16.1;6.52;471;0.276;0;0
2019;LATINA;ÁGUILAS;0.04;2125;69.77;0.688;4.29;2.48;0.274;125978.14;142.83;48.04;48.69;27.98;33.9;230.67;43.35;66.98;68.58;95.57;11.52;18.28;7.95;402;0.255;0;0
2018;LATINA;ÁGUILAS;0.04;2041;69.41;0.689;4.27;2.47;0.272;110367.38;141.57;48;48.54;28.24;32.18;232.78;42.96;67.7;68.85;91.97;10.45;16.97;7.01;424;0.267;0;0
2016;LATINA;ÁGUILAS;0.04;1697;80.21;0.707;4.17;2.48;0.264;111857.46;141.38;47.65;47.97;28.37;28.2;233.65;42.8;68.09;72.21;91.65;9.64;15.79;6.24;380;0.285;0;0
2017;BARAJAS;ALAMEDA DE OSUNA;0.11;2884;99.82;0.736;2.42;2.73;0.205;206590.93;98.39;43.88;44.64;23.9;16.03;137.39;72.79;70.37;70.52;89.74;5.36;10.76;2.24;158;0.07;0;0
2019;BARAJAS;ALAMEDA DE OSUNA;0.11;3273;92.69;0.708;2.54;2.69;0.215;177355.96;99.1;44.98;46.04;25.63;18.74;153.72;65.05;73.33;65.44;80.45;5.65;11.08;2.59;288;0.066;0;0
2018;BARAJAS;ALAMEDA DE OSUNA;0.11;3185;118.57;0.712;2.52;2.71;0.212;248821.57;98.69;44.46;45.36;24.96;17.51;146.91;68.07;72.27;68.15;89.79;5.37;10.84;2.41;216;0.067;0;0
2016;BARAJAS;ALAMEDA DE OSUNA;0.11;2602;83.95;0.736;2.43;2.73;0.202;188663.69;98.08;43.61;44.17;23.04;15.81;134.34;74.44;67.19;73.01;85.51;5.61;11.05;2.24;227;0.073;0;0
2017;CHAMBERÍ;ALMAGRO;1.74;5676;136.35;0.465;23.96;2.47;0.377;505961.91;210.01;46.08;45.62;23.82;37.86;197.1;50.74;56.04;87.24;115.93;12.61;20.32;6.65;291;0.067;1;0
2019;CHAMBERÍ;ALMAGRO;1.74;6728;134.44;0.453;24.82;2.45;0.375;587884.85;211.18;46.18;45.74;23.89;36.64;204.05;49.01;55.28;88.56;107.21;13.52;21.05;7.25;245;0.059;1;0
2018;CHAMBERÍ;ALMAGRO;1.74;6175;133.38;0.457;24.6;2.46;0.374;572198.19;211.09;46.16;45.67;23.96;37.18;202.65;49.35;55.73;87.99;110.06;12.81;20.44;6.86;253;0.062;1;0
